Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,ion maiorescu,sector 2,sector 2,bucurești,1
Staer 23,ion manolescu,sector 6,sector 6,bucurești,1
Staer 23,ion minulescu,sector 3,sector 3,bucurești,3
Staer 23,ion nedeleanu,sector 4,sector 4,bucurești,1
Staer 23,ion otetelesanu,sector 1,sector 1,bucurești,1
Staer 23,ion polizu,sector 2,sector 2,bucurești,1
Staer 23,ion scortaru,popești-leordeni,—,ilfov,2
Staer 23,ion sion,voluntari–pipera,—,ilfov,1
Staer 23,ion sulea,pantelimon,—,ilfov,1
Staer 23,ion voda viteazu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ion voda viteazul,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ionescu cristea,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ionescu d petre,sector 3,sector 3,bucurești,1
Staer 23,ionescu gheorghe,sector 4,sector 4,bucurești,10
Staer 23,ionescu sisesti,sector 1,sector 1,bucurești,1
Staer 23,iordache nastase,sector 4,sector 4,bucurești,1
Staer 23,iosif albu,sector 3,sector 3,bucurești,2
Staer 23,iosif niculescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,iosif sava,pantelimon,—,ilfov,1
Staer 23,iriceanu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,iriceanu,sector 4,sector 4,bucurești,1
Staer 23,iriceanu ion,bucurești neatribuit,bucurești neatribuit,bucurești,3
