Magazin standard,Stradă standard,Localitate standard,Sector atribuit,Județ,Nr. clienți
Staer 23,gheorghe tattarescu,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,gheorghe tattarescu,sector 3,sector 3,bucurești,1
Staer 23,gheorghe vasilescu,sector 4,sector 4,bucurești,1
Staer 23,gherghel vasile,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,gherghina,sector 5,sector 5,bucurești,1
Staer 23,gherghitei,sector 2,sector 2,bucurești,3
Staer 23,ghimbati,sector 4,sector 4,bucurești,1
Staer 23,ghimpati,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,ghimpati,sector 4,sector 4,bucurești,9
Staer 23,ghimpati,sector 5,sector 5,bucurești,1
Staer 23,ghindei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,ghinpati,sector 4,sector 4,bucurești,1
Staer 23,ghiocei,sector 2,sector 2,bucurești,1
Staer 23,ghiocelului,berceni (ilfov),—,ilfov,1
Staer 23,ghita serban,sector 3,sector 3,bucurești,4
Staer 23,giacomo puccini,sector 2,sector 2,bucurești,1
Staer 23,gilortului,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,gilortului,sector 5,sector 5,bucurești,1
Staer 23,giovani boccaccio,sector 4,sector 4,bucurești,1
Staer 23,giovanni baccaccio,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,giovanni boccaccio,sector 4,sector 4,bucurești,3
Staer 23,girnitei,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,giulesti,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,giurgilui,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,giurgiului,1decembrie,—,ilfov,1
Staer 23,giurgiului,sector 4,sector 4,bucurești,14
Staer 23,giuseppe galibaldi,bucurești neatribuit,bucurești neatribuit,bucurești,1
Staer 23,gladitei,sector 4,sector 4,bucurești,3
Staer 23,gliei,bragadiru,—,ilfov,2
Staer 23,gloriei,bragadiru,—,ilfov,2
Staer 23,golovita,sector 1,sector 1,bucurești,1
Staer 23,gorgan spataru,sector 2,sector 2,bucurești,1
Staer 23,gorgan spatarul,sector 2,sector 2,bucurești,2
Staer 23,goronului,sector 1,sector 1,bucurești,1
Staer 23,gospodariei,sector 3,sector 3,bucurești,2
Staer 23,gospodinelor,bucurești neatribuit,bucurești neatribuit,bucurești,2
Staer 23,govora,sector 4,sector 4,bucurești,6
Staer 23,gradinari,balaceanca,—,ilfov,1
Staer 23,gradinari,berceni (ilfov),—,ilfov,1
Staer 23,gradinari,sat balaceanca,—,ilfov,3
Staer 23,gradinarilor,pantelimon,—,ilfov,1
Staer 23,gradinarilor,sector 3,sector 3,bucurești,5
Staer 23,gradinarilor,sector 4,sector 4,bucurești,1
Staer 23,gradinilor,berceni (ilfov),—,ilfov,1
Staer 23,gradistea,sector 4,sector 4,bucurești,19
Staer 23,gral nicolae dona,sector 1,sector 1,bucurești,1
Staer 23,gramont,sector 4,sector 4,bucurești,1
Staer 23,graului,balaceanca,—,ilfov,1
